file,governance,env,sim_id,mode,condition,result,time_s,path_m,efficiency,collisions,c0min,spills_human,perc_queries,meta_switches,fsm_interventions,meta2_mode,meta2_capped_ticks,meta2_on,meta2_switches,meta2_helps,meta2_fallbacks,meta2_fallback_pct,meta2_help_pct,meta2_cautious_pct,meta2_mean_tension,meta2_mean_fulfillment,mean_clearance,mean_progression,mean_reliability,laser_noise_mean,laser_noise_max,filt_rej_mean,scan_hz,stale_pct,gated_pct,safer_inserts,map_adds,map_dels,obs_max,reloc_jumps,tick_ms_p95,notes
20260630_135819_ours_B.json,?,real,,ours,,aborted,236.72,25.94,,8,0.05,,,0,0,,,,0,0,0,,,,,,0.267,0.122,0.731,0.189,,,,,,,,,,0,,
20260701_160531_ours_B.json,?,real,,ours,,aborted,18.23,3.38,,0,0.22,,,0,0,,,,0,0,0,,,,,,0.689,0.305,0.693,0.294,,,,,,,,,,0,,
20260701_160802_ours_B.json,?,real,,ours,,aborted,169.1,15.1,,0,0.07,,,0,0,,,,0,0,0,,,,,,0.347,0.065,0.838,0.149,,,,,,,,,,0,,
20260701_162926_ours_B.json,?,real,,ours,,aborted,300.14,30.61,,1,0.05,,,0,0,,,,0,0,0,,,,,,0.307,0.113,0.8,0.175,,,,,,,,,,0,,
20260701_164456_ours_B.json,?,real,,ours,,aborted,73.71,11.06,,2,0.24,,,0,0,,,,0,0,0,,,,,,0.686,0.218,0.616,0.379,,,,,,,,,,0,,
20260702_113327_ours_B.json,?,real,,ours,,reached,71.77,13.24,0.48,0,0.33,,179,0,0,,,,0,0,0,,,,,,0.653,0.298,0.616,0.355,1.0,0.081,2.17,30.5,27.0,234,944,538,421,0,347.3,
20260702_114603_ours_B.json,?,real,,ours,,reached,142.38,20.52,0.31,1,0.21,,320,0,0,,,,0,0,0,,,,,,0.642,0.195,0.653,0.323,1.0,0.071,2.19,31.5,35.7,295,1319,959,369,0,352.2,
20260702_115505_ours_B.json,?,real,,ours,,reached,78.32,15.51,0.41,0,0.46,,185,0,0,,,,0,0,0,,,,,,0.673,0.292,0.58,0.404,1.0,0.069,2.18,31.0,29.0,187,814,442,379,0,353.7,
20260702_115717_ours_A.json,?,real,,ours,,aborted,119.6,13.21,,1,0.25,,,0,0,,,,0,0,0,,,,,,0.549,0.093,0.646,0.259,1.0,0.077,2.17,31.7,29.8,276,875,722,197,0,355.3,
20260702_120438_ours_B.json,?,real,,ours,,reached,83.68,14.18,0.44,1,0.32,,198,0,0,,,,0,0,0,,,,,,0.666,0.273,0.549,0.438,1.0,0.063,2.17,31.6,24.8,215,910,527,417,0,347.0,
20260702_120837_ours_A.json,?,real,,ours,,reached,108.4,18.34,0.35,0,0.27,,264,0,0,,,,0,0,0,,,,,,0.707,0.235,0.564,0.381,1.0,0.071,2.17,30.9,36.7,242,962,556,406,0,348.7,
20260702_122857_ours_B.json,?,real,,ours,,reached,111.91,16.97,0.37,1,0.16,,256,0,0,,,,0,0,0,,,,,,0.629,0.234,0.598,0.379,1.0,0.07,2.2,31.5,31.2,254,974,625,382,0,350.8,
20260702_123315_ours_A.json,?,real,,ours,,aborted,153.45,17.84,,4,0.19,,,0,0,,,,0,0,0,,,,,,0.426,0.115,0.701,0.192,1.0,0.09,2.24,31.6,37.8,299,869,660,248,0,352.2,
20260702_123933_ours_B.json,?,real,,ours,,aborted,120.3,15.69,,1,0.21,,,0,0,,,,0,0,0,,,,,,0.51,0.171,0.661,0.314,1.0,0.083,2.23,31.3,33.7,263,1053,772,404,0,355.2,
20260702_125209_ours_B.json,?,real,,ours,,aborted,56.68,7.59,,0,0.19,,,0,0,,,,0,0,0,,,,,,0.492,0.164,0.77,0.223,1.0,0.062,2.21,30.3,43.3,115,586,219,382,0,351.4,
20260702_130231_ours_B.json,?,real,,ours,,reached,84.11,13.01,0.49,0,0.21,,174,0,0,,,,0,0,0,,,,,,0.535,0.279,0.674,0.307,1.0,0.064,2.17,31.9,21.1,254,979,588,455,0,359.3,
20260702_130524_ours_A.json,?,real,,ours,,aborted,56.77,5.95,,0,0.26,,,0,0,,,,0,0,0,,,,,,0.4,0.068,0.785,0.105,0.844,0.06,2.16,31.7,54.4,218,571,366,218,0,348.6,
20260702_142725_ours_B.json,?,real,,ours,,reached,70.29,11.68,0.53,0,0.38,,163,0,0,,,,0,0,0,,,,,,0.639,0.302,0.61,0.347,1.0,0.064,2.17,31.1,17.1,75,812,388,447,0,359.8,
20260702_143039_ours_A.json,?,real,,ours,,aborted,54.35,7.67,,1,0.3,,,0,0,,,,0,0,0,,,,,,0.565,0.113,0.71,0.197,0.771,0.059,2.19,31.0,49.1,49,422,246,192,0,358.3,
